_1,_2,_3
8.377,8.714,8.564
0.717,0.182,0.427
4.173,4.778,4.685
6.438,6.734,6.563
0.888,0.36,0.421
2.832,2.564,2.182
2.814,2.79,2.941
8.4,8.524,8.688
2.604,2.043,2.172
0.548,0.353,0.175
4.701,4.203,4.69
4.236,4.05,4.234
2.855,2.498,2.367
8.254,8.467,8.517
4.867,4.205,4.913
0.782,0.753,0.439
6.698,6.124,6.629
8.907,8.283,8.687
8.202,8.824,8.757
4.086,4.567,4.064
4.748,4.02,4.187
6.297,6.558,6.449
8.953,8.844,8.195
6.917,6.058,6.623
8.955,8.972,8.87
8.156,8.963,8.542
2.543,2.517,2.667
2.338,2.745,2.575
2.752,2.457,2.785
2.352,2.107,2.955
8.287,8.779,8.279
2.604,2.212,2.428
2.694,2.575,2.831
8.451,8.653,8.422
0.703,0.442,0.873
6.221,6.368,6.929
2.914,2.778,2.903
8.294,8.302,8.634
2.758,2.105,2.236
2.654,2.207,2.532
8.054,8.9,8.12
4.382,4.527,4.004
6.582,6.66,6.168
0.678,0.738,0.445
4.741,4.845,4.833
6.718,6.722,6.175
8.767,8.777,8.356
6.452,6.171,6.599
4.287,4.782,4.677
2.468,2.352,2.705
6.57,6.779,6.561
0.746,0.097,0.807
8.62,8.332,8.271
2.174,2.461,2.621
6.157,6.467,6.98
8.595,8.028,8.716
0.978,0.316,0.153
0.466,0.484,0.147
8.894,8.937,8.659
0.282,0.411,0.118
6.944,6.163,6.785
0.914,0.856,0.146
6.806,6.572,6.765
6.545,6.545,6.956
0.766,0.409,0.939
4.143,4.413,4.949
4.186,4.246,4.445
2.416,2.472,2.095
6.967,6.871,6.793
2.481,2.564,2.579
6.331,6.438,6.015
2.035,2.373,2.106
4.172,4.261,4.008
6.964,6.122,6.155
8.578,8.399,8.58
0.023,0.335,0.598
2.417,2.749,2.568
6.83,6.575,6.527
4.911,4.342,4.394
2.282,2.804,2.836
4.872,4.268,4.757
8.965,8.365,8.717
2.271,2.815,2.212
0.703,0.723,0.346
8.586,8.805,8.033
4.669,4.063,4.517
2.479,2.576,2.044
0.778,0.621,0.389
4.118,4.772,4.776
8.955,8.125,8.053
4.813,4.471,4.586
4.022,4.556,4.467
0.634,0.988,0.732
8.424,8.817,8.688
6.618,6.74,6.715
0.647,0.981,0.368
2.997,2.035,2.597
6.736,6.308,6.832
0.691,0.067,0.229
0.617,0.842,0.188
6.698,6.688,6.232
0.129,0.531,0.814
4.794,4.823,4.657
6.365,6.73,6.616
8.197,8.844,8.869
4.37,4.31,4.982
4.113,4.624,4.689
4.018,4.812,4.048
8.809,8.522,8.09
0.262,0.13,0.994
0.421,0.133,0.832
8.143,8.669,8.057
6.128,6.739,6.942
0.281,0.725,0.831
6.173,6.06,6.127
8.258,8.623,8.969
0.538,0.346,0.348
8.702,8.147,8.82
2.758,2.559,2.977
8.826,8.405,8.377
6.155,6.28,6.18
6.42,6.415,6.29
8.253,8.121,8.85
6.053,6.594,6.919
4.635,4.405,4.322
6.198,6.56,6.408
0.712,0.133,0.62
4.789,4.308,4.553
8.501,8.406,8.247
8.028,8.408,8.088
4.615,4.582,4.361
2.447,2.313,2.321
2.412,2.4,2.871
0.658,0.608,0.888
8.565,8.235,8.546
4.334,4.815,4.723
8.462,8.303,8.43
6.207,6.479,6.736
8.659,8.82,8.538
6.029,6.828,6.668
4.556,4.794,4.777
0.819,0.041,0.521
4.645,4.262,4.804
6.133,6.366,6.791
0.037,0.993,0.87
6.436,6.975,6.247
2.044,2.725,2.112
4.902,4.522,4.079
4.961,4.27,4.675
6.552,6.296,6.476
4.575,4.6,4.995
8.329,8.744,8.5
6.171,6.035,6.155
2.922,2.848,2.87
8.671,8.306,8.59
0.058,0.012,0.931
4.59,4.524,4.445
2.921,2.585,2.944
4.544,4.305,4.354
6.711,6.386,6.567
4.721,4.847,4.066
4.147,4.639,4.864
4.006,4.796,4.222
2.147,2.851,2.972
4.678,4.524,4.856
2.858,2.746,2.385
4.808,4.206,4.042
4.928,4.145,4.503
6.23,6.908,6.206
8.458,8.615,8.776
6.794,6.782,6.045
6.969,6.593,6.45
0.118,0.854,0.165
6.722,6.39,6.163
0.094,0.23,0.595
8.895,8.509,8.746
6.121,6.997,6.73
4.783,4.757,4.073
4.074,4.623,4.451
2.977,2.369,2.03
0.308,0.699,0.894
6.742,6.755,6.67
6.218,6.283,6.581
8.704,8.431,8.005
8.969,8.422,8.045
4.078,4.401,4.546
6.589,6.571,6.908
8.662,8.025,8.843
4.561,4.985,4.092
6.931,6.3,6.394
0.372,0.772,0.438
2.644,2.382,2.039
2.064,2.604,2.305
8.44,8.366,8.249
6.731,6.746,6.151
0.21,0.207,0.754
2.58,2.416,2.057
4.395,4.53,4.662
4.267,4.784,4.726
0.937,0.656,0.675
4.116,4.822,4.995
4.494,4.614,4.83
0.186,0.935,0.119
8.853,8.48,8.207
0.458,0.332,0.217
6.128,6.605,6.281
6.152,6.641,6.904
6.595,6.887,6.696
4.265,4.809,4.917
0.372,0.325,0.526
4.364,4.302,4.595
2.96,2.973,2.356
0.317,0.019,0.8
8.75,8.374,8.082
8.653,8.471,8.963
6.353,6.065,6.34
6.888,6.096,6.872
6.571,6.097,6.867
6.618,6.02,6.026
0.452,0.146,0.083
8.176,8.101,8.263
0.983,0.758,0.516
8.745,8.687,8.153
2.655,2.326,2.092
6.931,6.58,6.125
4.86,4.916,4.05
0.111,0.176,0.449
6.227,6.883,6.757
4.141,4.644,4.725
6.572,6.975,6.388
8.983,8.615,8.504
6.416,6.901,6.673
4.727,4.262,4.531
8.886,8.405,8.548
0.16,0.446,0.561
2.683,2.802,2.22
4.912,4.448,4.738
6.458,6.792,6.888
8.239,8.042,8.866
2.475,2.083,2.393
0.445,0.999,0.363
0.336,0.934,0.49
0.437,0.599,0.983
4.943,4.57,4.266
4.835,4.136,4.273
0.698,0.961,0.52
2.958,2.551,2.422
4.122,4.271,4.579
0.982,0.697,0.432
0.409,0.182,0.653
0.542,0.927,0.725
6.98,6.925,6.725
6.371,6.549,6.785
0.354,0.462,0.197
2.263,2.509,2.27
4.735,4.857,4.191
8.337,8.0,8.191
2.789,2.847,2.043
2.336,2.203,2.994
4.801,4.41,4.288
8.441,8.128,8.174
8.167,8.557,8.016
0.046,0.513,0.628
2.728,2.963,2.805
4.081,4.942,4.165
6.665,6.808,6.252
0.653,0.727,0.59
8.223,8.694,8.538
2.552,2.33,2.674
6.628,6.276,6.778
4.157,4.956,4.475
6.642,6.013,6.357
4.137,4.426,4.204
4.759,4.608,4.495
8.095,8.584,8.069
8.632,8.407,8.77
8.281,8.179,8.09
2.757,2.594,2.941
8.641,8.291,8.793
0.1,0.013,0.684
8.888,8.592,8.765
4.338,4.76,4.458
0.455,0.351,0.581
4.079,4.11,4.101
4.521,4.078,4.684
0.832,0.565,0.062
8.588,8.841,8.087
4.454,4.843,4.652
2.817,2.039,2.534
6.526,6.721,6.83
2.508,2.21,2.129
0.809,0.439,0.276
4.69,4.013,4.727
6.83,6.802,6.869
6.283,6.041,6.956
0.891,0.225,0.978
2.71,2.326,2.935
4.114,4.791,4.805
4.547,4.145,4.08
6.749,6.325,6.929
6.248,6.794,6.908
0.421,0.349,0.761
2.019,2.163,2.681
4.3,4.433,4.555
8.349,8.49,8.229
2.054,2.745,2.458
4.307,4.418,4.638
8.887,8.593,8.761
0.412,0.752,0.203
2.663,2.141,2.287
4.055,4.138,4.287
0.97,0.63,0.953
2.025,2.62,2.774
4.751,4.971,4.662
4.379,4.099,4.966
0.171,0.275,0.483
4.275,4.79,4.642
2.961,2.686,2.861
4.993,4.569,4.678
8.827,8.031,8.508
0.072,0.609,0.333
6.579,6.031,6.726
4.267,4.251,4.358
2.215,2.325,2.756
8.361,8.13,8.201
8.648,8.365,8.092
8.492,8.349,8.107
6.929,6.843,6.685
2.784,2.539,2.327
6.496,6.686,6.705
0.577,0.417,0.194
0.6,0.826,0.543
0.471,0.473,0.687
8.981,8.249,8.538
4.646,4.548,4.742
8.445,8.351,8.522
0.267,0.792,0.575
4.778,4.128,4.493
2.245,2.612,2.321
4.279,4.563,4.804
2.722,2.244,2.966
0.693,0.546,0.195
6.51,6.459,6.418
2.066,2.334,2.946
0.776,0.771,0.045
0.597,0.539,0.096
0.142,0.281,0.078
8.586,8.765,8.848
6.516,6.715,6.862
0.113,0.563,0.389
6.861,6.007,6.45
4.401,4.252,4.027
0.194,0.324,0.562
2.494,2.349,2.33
8.226,8.02,8.534
4.264,4.657,4.82
0.56,0.436,0.828
0.611,0.322,0.613
6.859,6.486,6.77
6.315,6.46,6.009
8.123,8.723,8.407
4.791,4.401,4.116
6.708,6.977,6.15
4.849,4.228,4.724
6.261,6.293,6.958
6.487,6.787,6.55
4.571,4.29,4.534
2.485,2.789,2.854
6.105,6.678,6.133
4.353,4.726,4.185
4.686,4.621,4.37
4.849,4.687,4.391
2.231,2.615,2.027
2.619,2.203,2.233
6.117,6.171,6.518
0.848,0.991,0.945
2.052,2.23,2.176
0.478,0.417,0.828
6.001,6.988,6.991
4.586,4.455,4.168
8.16,8.297,8.05
8.171,8.755,8.925
8.43,8.951,8.282
4.028,4.549,4.593
4.009,4.806,4.961
2.588,2.514,2.026
2.908,2.996,2.65
0.431,0.115,0.232
2.419,2.348,2.715
6.382,6.157,6.046
6.347,6.108,6.876
6.127,6.007,6.588
4.583,4.703,4.643
8.217,8.006,8.291
0.59,0.326,0.757
2.79,2.702,2.158
8.527,8.043,8.153
6.327,6.726,6.284
4.882,4.639,4.955
6.686,6.573,6.131
0.364,0.707,0.095
4.315,4.023,4.035
0.971,0.067,0.605
0.328,0.632,0.068
2.192,2.682,2.057
0.159,0.542,0.086
8.228,8.101,8.993
6.344,6.411,6.933
4.932,4.687,4.52
4.983,4.095,4.462
0.856,0.575,0.77
8.195,8.304,8.185
8.885,8.109,8.041
2.224,2.132,2.363
6.734,6.706,6.77
2.709,2.672,2.306
6.161,6.016,6.462
0.551,0.536,0.669
2.159,2.108,2.762
8.724,8.176,8.139
8.645,8.622,8.711
4.745,4.192,4.832
8.849,8.367,8.536
8.639,8.665,8.907
4.388,4.71,4.45
4.356,4.487,4.981
0.183,0.967,0.573
8.598,8.733,8.144
2.732,2.21,2.745
4.719,4.976,4.731
6.987,6.387,6.597
4.291,4.891,4.096
4.369,4.533,4.049
0.748,0.042,0.716
6.821,6.362,6.449
4.307,4.647,4.95
8.659,8.808,8.033
0.084,0.59,0.536
2.132,2.942,2.288
2.188,2.378,2.423
8.267,8.082,8.416
2.11,2.185,2.808
6.628,6.705,6.892
6.228,6.715,6.504
2.733,2.888,2.585
4.82,4.143,4.474
0.029,0.557,0.32
8.755,8.322,8.715
6.787,6.61,6.386
0.71,0.183,0.002
2.057,2.254,2.994
0.259,0.195,0.193
8.965,8.836,8.041
4.911,4.061,4.091
8.574,8.676,8.022
0.279,0.149,0.714
6.373,6.877,6.84
2.91,2.724,2.071
0.192,0.042,0.703
6.33,6.427,6.23
4.887,4.095,4.135
4.5,4.252,4.091
2.383,2.111,2.406
6.038,6.101,6.518
2.23,2.344,2.605
2.178,2.662,2.883
6.804,6.298,6.486
4.01,4.216,4.356
4.417,4.931,4.78
6.692,6.712,6.83
6.944,6.976,6.488
2.394,2.939,2.704
4.735,4.985,4.077
8.787,8.096,8.488
4.691,4.358,4.613
8.817,8.954,8.634
8.12,8.128,8.18
4.359,4.306,4.858
8.525,8.633,8.106
2.734,2.238,2.099
8.532,8.171,8.105
2.848,2.805,2.851
4.538,4.162,4.404
0.257,0.576,0.81
8.979,8.611,8.386
0.995,0.086,0.421
6.572,6.285,6.104
2.826,2.838,2.429
2.296,2.416,2.973
0.177,0.03,0.918
8.804,8.14,8.258
0.786,0.461,0.006
2.205,2.448,2.716
2.259,2.798,2.191
4.978,4.963,4.205
2.468,2.527,2.527
6.001,6.329,6.322
8.748,8.7,8.556
2.543,2.891,2.864
2.685,2.636,2.753
6.858,6.945,6.197
2.889,2.874,2.235
2.125,2.019,2.614
4.161,4.024,4.21
6.619,6.85,6.633
2.767,2.408,2.139
8.915,8.845,8.008
6.191,6.823,6.002
8.307,8.51,8.195
6.849,6.209,6.744
0.959,0.547,0.74
4.102,4.923,4.456
2.795,2.058,2.362
0.277,0.422,0.701
6.784,6.775,6.668
2.179,2.48,2.468
6.768,6.376,6.147
8.424,8.254,8.885
4.962,4.398,4.625
8.539,8.582,8.386
6.929,6.516,6.419
4.094,4.956,4.113
0.649,0.642,0.493
6.421,6.516,6.254
8.52,8.439,8.471
4.04,4.801,4.376
0.208,0.911,0.399
0.264,0.797,0.776
8.743,8.941,8.034
6.123,6.956,6.244
4.452,4.186,4.233
4.536,4.27,4.553
0.272,0.482,0.549
8.911,8.361,8.288
4.483,4.835,4.892
0.617,0.865,0.453
8.55,8.401,8.336
8.611,8.196,8.181
0.806,0.113,0.879
4.716,4.895,4.607
0.173,0.846,0.852
8.204,8.973,8.261
8.672,8.051,8.049
8.948,8.079,8.071
4.518,4.285,4.209
4.154,4.822,4.669
0.43,0.127,0.801
4.896,4.213,4.181
2.319,2.238,2.053
0.389,0.633,0.286
6.873,6.934,6.401
0.543,0.585,0.625
4.306,4.555,4.019
0.555,0.59,0.657
2.319,2.944,2.55
4.307,4.769,4.091
2.799,2.762,2.888
8.775,8.815,8.127
4.071,4.677,4.261
4.372,4.482,4.958
0.927,0.624,0.901
0.533,0.331,0.73
4.537,4.463,4.871
4.423,4.388,4.745
8.118,8.909,8.858
4.6,4.874,4.656
2.055,2.197,2.569
8.756,8.005,8.665
4.221,4.049,4.868
8.531,8.547,8.945
8.005,8.026,8.59
4.624,4.905,4.817
4.304,4.537,4.823
4.9,4.477,4.975
2.812,2.3,2.365
8.94,8.695,8.285
0.043,0.956,0.53
8.301,8.692,8.033
2.798,2.272,2.675
4.527,4.421,4.129
4.472,4.265,4.265
0.148,0.496,0.614
0.926,0.222,0.531
6.679,6.488,6.394
4.699,4.336,4.874
2.098,2.133,2.989
6.926,6.005,6.838
0.615,0.418,0.742
6.705,6.092,6.024
0.2,0.605,0.907
6.541,6.521,6.566
8.968,8.844,8.437
4.38,4.261,4.269
0.676,0.96,0.774
4.307,4.425,4.501
6.554,6.56,6.003
0.502,0.119,0.493
8.027,8.725,8.713
2.147,2.574,2.373
0.365,0.608,0.522
4.49,4.836,4.232
6.123,6.645,6.955
6.088,6.314,6.76
6.48,6.25,6.108
8.901,8.045,8.295
8.523,8.279,8.021
4.668,4.96,4.534
8.597,8.294,8.64
0.405,0.233,0.891
2.065,2.488,2.496
2.733,2.772,2.621
0.003,0.035,0.624
8.996,8.684,8.381
2.609,2.539,2.536
6.582,6.553,6.884
4.693,4.549,4.475
0.849,0.071,0.849
8.078,8.216,8.924
8.244,8.38,8.393
0.715,0.102,0.245
4.892,4.701,4.706
2.748,2.688,2.797
2.607,2.198,2.396
2.306,2.213,2.419
4.143,4.634,4.449
6.459,6.583,6.272
2.575,2.115,2.037
8.803,8.481,8.962
0.383,0.927,0.445
2.18,2.947,2.534
4.922,4.582,4.955
8.373,8.854,8.079
2.739,2.799,2.849
6.888,6.48,6.236
8.322,8.808,8.982
2.773,2.917,2.035
0.321,0.87,0.101
0.657,0.662,0.097
4.418,4.155,4.429
0.58,0.639,0.437
8.126,8.925,8.188
6.247,6.206,6.596
0.21,0.992,0.678
2.985,2.384,2.414
2.151,2.652,2.152
8.53,8.102,8.903
0.7,0.348,0.896
6.968,6.153,6.317
6.337,6.041,6.909
8.544,8.613,8.422
0.058,0.076,0.948
8.184,8.929,8.852
2.762,2.911,2.917
2.439,2.09,2.352
6.553,6.015,6.644
8.374,8.717,8.183
8.855,8.137,8.323
4.41,4.624,4.447
0.883,0.855,0.506
8.524,8.966,8.705
2.87,2.342,2.54
6.506,6.305,6.414
2.684,2.934,2.493
8.597,8.992,8.56
2.412,2.494,2.998
0.079,0.645,0.712
8.644,8.599,8.166
6.645,6.733,6.549
4.665,4.446,4.865
0.382,0.925,0.864
6.154,6.108,6.169
2.413,2.535,2.446
4.521,4.173,4.166
4.977,4.677,4.252
8.023,8.534,8.453
8.429,8.041,8.993
2.696,2.641,2.55
8.643,8.189,8.699
4.981,4.529,4.294
6.589,6.534,6.521
8.766,8.59,8.675
4.501,4.631,4.84
8.583,8.934,8.999
2.872,2.586,2.978
2.105,2.169,2.432
8.424,8.557,8.735
8.475,8.343,8.11
4.294,4.761,4.753
6.661,6.467,6.322
4.031,4.636,4.957
6.991,6.41,6.156
0.919,0.23,0.569
8.202,8.745,8.936
4.78,4.5,4.986
0.968,0.173,0.285
4.954,4.304,4.189
0.014,0.544,0.453
0.081,0.606,0.646
0.432,0.927,0.743
4.186,4.698,4.372
4.643,4.721,4.705
8.651,8.81,8.538
0.897,0.994,0.125
8.348,8.405,8.426
0.712,0.017,0.499
8.542,8.848,8.701
4.288,4.516,4.502
0.659,0.457,0.089
2.055,2.865,2.699
4.047,4.036,4.242
4.288,4.445,4.862
4.227,4.401,4.023
0.208,0.645,0.998
0.314,0.504,0.878
0.571,0.742,0.696
8.033,8.353,8.408
6.667,6.828,6.495
4.972,4.039,4.522
0.796,0.346,0.35
6.633,6.145,6.367
2.108,2.407,2.714
6.964,6.914,6.976
2.998,2.359,2.201
8.422,8.388,8.17
8.635,8.229,8.011
8.155,8.218,8.525
8.028,8.184,8.09
6.484,6.716,6.935
0.363,0.598,0.333
6.536,6.051,6.518
2.511,2.531,2.12
6.153,6.664,6.405
0.05,0.399,0.226
6.791,6.957,6.912
2.927,2.103,2.861
6.048,6.417,6.358
2.932,2.382,2.695
4.23,4.466,4.745
4.251,4.062,4.485
0.635,0.369,0.365
6.878,6.907,6.29
6.119,6.059,6.245
6.416,6.007,6.429
6.352,6.196,6.199
0.464,0.078,0.975
4.275,4.704,4.922
0.324,0.886,0.162
6.468,6.564,6.832
4.697,4.17,4.291
0.134,0.847,0.267
8.78,8.188,8.678
8.179,8.684,8.579
6.68,6.708,6.84
0.014,0.86,0.941
4.262,4.409,4.417
4.759,4.456,4.049
2.067,2.497,2.534
0.632,0.703,0.051
8.915,8.081,8.921
0.757,0.475,0.516
8.348,8.128,8.16
0.975,0.675,0.651
0.113,0.034,0.022
4.729,4.473,4.156
2.775,2.976,2.552
4.755,4.064,4.231
0.934,0.821,0.284
0.572,0.833,0.1
6.564,6.983,6.992
2.351,2.639,2.466
8.37,8.204,8.757
4.054,4.648,4.455
2.621,2.916,2.466
4.101,4.854,4.781
2.774,2.702,2.781
0.631,0.564,0.902
4.954,4.609,4.162
0.885,0.789,0.889
8.806,8.587,8.126
6.606,6.974,6.003
4.69,4.766,4.731
2.837,2.211,2.465
2.084,2.571,2.847
4.357,4.291,4.16
2.452,2.117,2.896
6.952,6.455,6.326
2.679,2.654,2.811
4.276,4.799,4.149
2.58,2.598,2.11
8.604,8.611,8.773
0.308,0.856,0.258
0.101,0.173,0.149
6.219,6.191,6.861
2.934,2.924,2.996
6.578,6.379,6.071
6.039,6.237,6.277
2.611,2.529,2.532
8.215,8.104,8.738
6.134,6.6,6.347
4.115,4.914,4.682
4.16,4.37,4.026
4.429,4.522,4.326
6.675,6.75,6.408
2.585,2.187,2.287
8.455,8.419,8.964
4.688,4.581,4.826
2.024,2.353,2.657
6.443,6.869,6.429
6.705,6.55,6.162
2.652,2.946,2.176
0.462,0.11,0.887
4.611,4.18,4.168
4.739,4.625,4.047
4.832,4.281,4.687
6.448,6.643,6.817
2.906,2.21,2.273
6.194,6.945,6.186
0.11,0.342,0.734
0.872,0.176,0.997
4.76,4.645,4.601
2.276,2.361,2.536
8.885,8.6,8.091
6.359,6.378,6.871
2.31,2.458,2.728
8.533,8.794,8.507
8.268,8.461,8.105
2.101,2.675,3.0
4.333,4.755,4.282
6.264,6.763,6.325
4.397,4.406,4.515
4.624,4.491,4.6
2.114,2.74,2.51
8.897,8.131,8.622
0.696,0.405,0.099
4.258,4.943,4.427
4.57,4.895,4.349
6.372,6.732,6.535
4.043,4.071,4.861
6.081,6.047,6.377
6.512,6.175,6.571
2.183,2.428,2.052
6.414,6.821,6.581
0.516,0.234,0.028
6.882,6.872,6.153
8.68,8.292,8.102
0.485,0.628,0.785
0.449,0.697,0.079
2.241,2.96,2.726
2.135,2.446,2.253
8.443,8.111,8.803
0.823,0.992,0.925
8.786,8.719,8.229
2.799,2.02,2.154
6.131,6.738,6.244
8.827,8.777,8.204
0.167,0.692,0.205
4.005,4.641,4.172
2.087,2.981,2.362
6.345,6.953,6.007
2.324,2.999,2.545
2.71,2.271,2.237
2.57,2.95,2.383
2.108,2.823,2.295
8.783,8.32,8.465
2.869,2.254,2.019
8.294,8.31,8.967
0.65,0.223,0.022
2.375,2.446,2.658
6.574,6.49,6.97
0.328,0.591,0.727
0.517,0.716,0.91
6.65,6.079,6.685
0.133,0.038,0.559
8.228,8.977,8.145
8.753,8.329,8.151
6.131,6.342,6.743
8.963,8.105,8.608
0.543,0.602,0.997
4.545,4.954,4.118
0.535,0.871,0.39
0.737,0.405,0.057
0.09,0.024,0.336
4.111,4.011,4.308
8.077,8.463,8.792
6.953,6.479,6.124
4.566,4.83,4.453
0.981,0.332,0.822
8.343,8.454,8.135
4.648,4.154,4.35
0.169,0.369,0.116
0.274,0.286,0.928
8.465,8.54,8.955
8.804,8.005,8.212
0.702,0.757,0.215
8.876,8.365,8.545
0.823,0.033,0.954
2.902,2.724,2.889
6.324,6.869,6.594
6.323,6.182,6.982
8.065,8.751,8.501
0.21,0.005,0.216
6.523,6.685,6.383
2.308,2.557,2.006
0.08,0.311,0.499
6.822,6.338,6.744
0.321,0.835,0.927
8.222,8.36,8.131
4.735,4.22,4.435
0.996,0.389,0.521
2.25,2.004,2.813
0.48,0.877,0.776
0.648,0.431,0.06
0.829,0.472,0.105
2.406,2.371,2.181
6.359,6.169,6.673
4.324,4.376,4.019
6.165,6.782,6.102
8.615,8.917,8.419
8.638,8.697,8.069
8.848,8.653,8.04
0.765,0.924,0.265
2.525,2.206,2.182
8.488,8.942,8.671
6.959,6.853,6.837
2.156,2.174,2.064
8.796,8.975,8.854
6.922,6.648,6.614
2.608,2.376,2.594
2.967,2.252,2.123
0.262,0.219,0.396
0.014,0.405,0.602
4.392,4.422,4.505
6.629,6.311,6.402
2.994,2.551,2.048
2.477,2.979,2.376
4.823,4.183,4.047
2.051,2.708,2.835
6.361,6.495,6.628
0.109,0.824,0.54
0.493,0.356,0.039
8.841,8.19,8.898
0.565,0.073,0.042
2.933,2.401,2.632
2.161,2.852,2.08
4.919,4.102,4.323
6.212,6.757,6.997
2.518,2.686,2.019
8.562,8.297,8.447
2.403,2.221,2.213
4.876,4.451,4.124
4.84,4.623,4.556
4.067,4.506,4.266
0.242,0.25,0.157
8.373,8.417,8.337
0.557,0.204,0.6
0.227,0.882,0.361
6.779,6.838,6.601
0.263,0.698,0.219
8.158,8.458,8.759
2.681,2.374,2.102
8.563,8.628,8.002
2.443,2.331,2.513
6.828,6.182,6.898
4.023,4.179,4.585
8.153,8.225,8.769
6.323,6.375,6.067
8.829,8.102,8.31
2.697,2.027,2.864
4.886,4.975,4.587
8.734,8.23,8.709
6.401,6.411,6.538
6.91,6.524,6.871
0.527,0.528,0.816
2.068,2.892,2.222
4.163,4.635,4.75
0.578,0.951,0.861
4.638,4.685,4.881
4.735,4.986,4.447
4.88,4.459,4.869
0.111,0.021,0.686
8.993,8.217,8.289
0.177,0.106,0.823
2.73,2.198,2.832
4.954,4.227,4.425
0.132,0.409,0.601
4.473,4.893,4.764
4.298,4.259,4.936
4.346,4.413,4.287
0.501,0.041,0.02
8.551,8.979,8.293
2.734,2.124,2.78
6.395,6.869,7.0
6.327,6.691,6.34
2.956,2.935,2.096
4.575,4.757,4.96
4.835,4.981,4.474
0.266,0.601,0.808
0.362,0.57,0.657
0.187,0.359,0.159
0.246,0.19,0.771
0.577,0.025,0.795
2.697,2.582,2.667
6.227,6.583,6.106
6.305,6.264,6.333
2.557,2.16,2.606
0.84,0.774,0.851
0.361,0.33,0.16
6.966,6.972,6.075
2.892,2.284,2.03
6.77,6.769,6.881
8.148,8.187,8.795
0.512,0.044,0.494
0.18,0.133,0.243
0.15,0.219,0.892
0.761,0.105,0.567
6.66,6.491,6.759
4.678,4.839,4.102
6.472,6.881,6.356
0.273,0.126,0.732
4.05,4.438,4.775
0.955,0.267,0.914
2.825,2.552,2.188
2.271,2.096,2.884
2.155,2.786,2.03
6.498,6.993,6.664
8.983,8.228,8.075
2.719,2.07,2.655
4.742,4.059,4.955
2.961,2.031,2.391
6.519,6.684,6.825
4.792,4.36,4.877
8.447,8.883,8.214
8.798,8.593,8.583
4.557,4.342,4.163
8.02,8.79,8.771
8.249,8.702,8.994
6.153,6.755,6.015
6.498,6.72,6.269
2.866,2.832,2.303
2.09,2.878,2.907
8.208,8.187,8.241
0.394,0.489,0.859
2.113,2.682,2.594
4.42,4.698,4.447
2.735,2.747,2.894
4.773,4.127,4.272
4.935,4.766,4.632
8.53,8.937,8.032
4.065,4.977,4.598
8.699,8.942,8.334
8.179,8.373,8.936
2.408,2.922,2.584
4.951,4.515,4.118
6.49,6.696,6.709
4.648,4.647,4.021
4.313,4.725,4.953
2.004,2.856,2.589
4.702,4.837,4.045
0.325,0.242,0.046
6.437,6.773,6.993
4.118,4.779,4.351
8.865,8.041,8.134
0.864,0.347,0.007
8.769,8.021,8.464
0.369,0.425,0.169
2.281,2.511,2.658
8.74,8.131,8.589
6.998,6.684,6.622
0.749,0.222,0.365
8.129,8.74,8.769
4.497,4.332,4.85
0.448,0.546,0.075
8.103,8.176,8.858
6.439,6.929,6.714
8.905,8.106,8.738
2.204,2.457,2.022
