name                          	abilities.0          	abilities.1         	abilities.2       	abilities.3      	abilities.4      	abilities.5     	description                                                                                                                                                                     	evolution.0                   	evolution.1     	evolution.2     	evolution.3     	gen     	height     	id      	species                   	stats.attack     	stats.defense     	stats.hp     	stats.sp.atk     	stats.sp.def     	stats.speed     	stats.total     	type.0       	type.1       	weight       
Archen                        	Defeatist            	                    	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	0.5m       	566     	First Bird Pokemon        	112              	45                	55           	74               	45               	70              	401             	Rock         	Flying       	9.5 kg       
Archeops                      	Defeatist            	                    	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	1.4m       	567     	First Bird Pokemon        	140              	65                	75           	112              	65               	110             	567             	Rock         	Flying       	32 kg        
Ariados                       	Swarm                	Insomnia            	Sniper            	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	2       	1.1m       	168     	Long Leg Pokemon          	90               	70                	70           	60               	70               	40              	400             	Bug          	Poison       	33.5 kg      
Armaldo                       	Battle Armor         	Swift Swim          	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	1.5m       	348     	Plate Pokemon             	125              	100               	75           	70               	80               	45              	495             	Rock         	Bug          	68.2 kg      
Aromatisse                    	Healer               	Aroma Veil          	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	6       	0.8m       	683     	Fragrance Pokemon         	72               	72                	101          	99               	89               	29              	462             	Fairy        	             	15.5 kg      
Aron                          	Sturdy               	Rock Head           	Heavy Metal       	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	0.4m       	304     	Iron Armor Pokemon        	70               	100               	50           	40               	40               	30              	330             	Steel        	Rock         	60 kg        
Articuno                      	Pressure             	Snow Cloak          	                  	                 	                 	                	A legendary bird Pokemon. It can create blizzards by freezing moisture in the air.                                                                                              	                              	                	                	                	1       	1.70m      	144     	Freeze Pokemon            	85               	100               	90           	95               	125              	85              	580             	Ice          	Flying       	55.4 kg      
Audino                        	Healer               	Regenerator         	Klutz             	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	1.1m       	531     	Hearing Pokemon           	60               	126               	103          	80               	126              	50              	545             	Normal       	             	31 kg        
Aurorus                       	Refrigerate          	Snow Warning        	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	6       	2.7m       	699     	Tundra Pokemon            	77               	72                	123          	99               	92               	58              	521             	Rock         	Ice          	225 kg       
Avalugg                       	Own Tempo            	Ice Body            	Sturdy            	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	6       	2m         	713     	Iceberg Pokemon           	117              	184               	95           	44               	46               	28              	514             	Ice          	             	505 kg       
Axew                          	Rivalry              	Mold Breaker        	Unnerve           	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	0.6m       	610     	Tusk Pokemon              	87               	60                	46           	30               	40               	57              	320             	Dragon       	             	18 kg        
Azelf                         	Levitate             	                    	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	4       	0.3m       	482     	Willpower Pokemon         	125              	70                	75           	125              	70               	115             	580             	Psychic      	             	0.3 kg       
Azumarill                     	Thick Fat            	Huge Power          	Sap Sipper        	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	2       	0.8m       	184     	Aquarabbit Pokemon        	50               	80                	100          	60               	80               	50              	420             	Water        	Fairy        	28.5 kg      
Azurill                       	Thick Fat            	Huge Power          	Sap Sipper        	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	0.2m       	298     	Polka Dot Pokemon         	20               	40                	50           	20               	40               	20              	190             	Normal       	Fairy        	2 kg         
Bagon                         	Rock Head            	Sheer Force         	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	0.6m       	371     	Rock Head Pokemon         	75               	60                	45           	40               	30               	50              	300             	Dragon       	             	42.1 kg      
Baltoy                        	Levitate             	                    	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	0.5m       	343     	Clay Doll Pokemon         	40               	55                	40           	40               	70               	55              	300             	Ground       	Psychic      	21.5 kg      
Banette                       	Insomnia             	Frisk               	Cursed Body       	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	1.1m       	354     	Marionette Pokemon        	165              	75                	64           	93               	83               	75              	555             	Ghost        	             	12.5 kg      
Barbaracle                    	Tough Claws          	Sniper              	Pickpocket        	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	6       	1.3m       	689     	Collective Pokemon        	105              	115               	72           	54               	86               	68              	500             	Rock         	Water        	96 kg        
Barboach                      	Oblivious            	Anticipation        	Hydration         	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	0.4m       	339     	Whiskers Pokemon          	48               	43                	50           	46               	41               	60              	288             	Water        	Ground       	1.9 kg       
Basculin                      	Reckless             	Rock Head           	Adaptability      	Mold Breaker     	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	1m         	550     	Hostile Pokemon           	92               	65                	70           	80               	55               	98              	460             	Water        	             	18 kg        
Bastiodon                     	Sturdy               	Soundproof          	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	4       	1.3m       	411     	Shield Pokemon            	52               	168               	60           	47               	138              	30              	495             	Rock         	Steel        	149.5 kg     
Bayleef                       	Overgrow             	Leaf Guard          	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	2       	1.2m       	153     	Leaf Pokemon              	62               	80                	60           	63               	80               	60              	405             	Grass        	             	15.8 kg      
Beartic                       	Snow Cloak           	Slush Rush          	Swift Swim        	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	2.6m       	614     	Freezing Pokemon          	130              	80                	95           	70               	80               	50              	505             	Ice          	             	260 kg       
Beautifly                     	Swarm                	Rivalry             	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	1m         	267     	Butterfly Pokemon         	70               	50                	60           	100              	50               	65              	395             	Bug          	Flying       	28.4 kg      
Beedrill                      	Swarm                	Sniper              	                  	                 	                 	                	Its best attack involves flying around at high speed, striking with poison needles, then flying off.                                                                            	Weedle                        	Kakuna          	Beedrill        	                	1       	0.99m      	015     	Poison Bee Pokemon        	90               	40                	65           	45               	80               	75              	395             	Bug          	Poison       	29.5 kg      
Beheeyem                      	Telepathy            	Synchronize         	Analytic          	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	1m         	606     	Cerebral Pokemon          	75               	75                	75           	125              	95               	40              	485             	Psychic      	             	34.5 kg      
Beldum                        	Clear Body           	Light Metal         	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	0.6m       	374     	Iron Ball Pokemon         	55               	80                	40           	35               	60               	30              	300             	Steel        	Psychic      	95.2 kg      
Bellossom                     	Chlorophyll          	Healer              	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	2       	0.4m       	182     	Flower Pokemon            	80               	95                	75           	90               	100              	50              	490             	Grass        	             	5.8 kg       
Bellsprout                    	Chlorophyll          	Gluttony            	                  	                 	                 	                	It prefers hot and humid environments. It is quick at capturing prey with its vines.                                                                                            	Bellsprout                    	Weepinbell      	Victreebel      	                	1       	0.71m      	069     	Flower Pokemon            	75               	35                	50           	70               	30               	40              	300             	Grass        	Poison       	4.0 kg       
Bergmite                      	Own Tempo            	Ice Body            	Sturdy            	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	6       	1m         	712     	Ice Chunk Pokemon         	69               	85                	55           	32               	35               	28              	304             	Ice          	             	99.5 kg      
Bewear                        	Fluffy               	Klutz               	Unnerve           	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	7       	2.1m       	760     	Strong Arm Pokemon        	125              	80                	120          	55               	60               	60              	500             	Normal       	Fighting     	135 kg       
Bibarel                       	Simple               	Unaware             	Moody             	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	4       	1m         	400     	Beaver Pokemon            	85               	60                	79           	55               	60               	71              	410             	Normal       	Water        	31.5 kg      
Bidoof                        	Simple               	Unaware             	Moody             	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	4       	0.5m       	399     	Plump Mouse Pokemon       	45               	40                	59           	35               	40               	31              	250             	Normal       	             	20 kg        
Binacle                       	Tough Claws          	Sniper              	Pickpocket        	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	6       	0.5m       	688     	Two-Handed Pokemon        	52               	67                	42           	39               	56               	50              	306             	Rock         	Water        	31 kg        
Bisharp                       	Defiant              	Inner Focus         	Pressure          	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	1.6m       	625     	Sword Blade Pokemon       	125              	100               	65           	60               	70               	70              	490             	Dark         	Steel        	70 kg        
Blastoise                     	Torrent              	Rain Dish           	                  	                 	                 	                	The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.                                                                                 	Squirtle                      	Wartortle       	Blastoise       	                	1       	1.60m      	009     	Shellfish Pokemon         	83               	100               	79           	85               	105              	78              	530             	Water        	             	85.5 kg      
Blaziken                      	Blaze                	Speed Boost         	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	1.9m       	257     	Blaze Pokemon             	160              	80                	80           	130              	80               	100             	630             	Fire         	Fighting     	52 kg        
Blissey                       	Natural Cure         	Serene Grace        	Healer            	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	2       	1.5m       	242     	Happiness Pokemon         	10               	10                	255          	75               	135              	55              	540             	Normal       	             	46.8 kg      
Blitzle                       	Lightningrod         	Motor Drive         	Sap Sipper        	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	0.8m       	522     	Electrified Pokemon       	60               	32                	45           	50               	32               	76              	295             	Electric     	             	29.8 kg      
Boldore                       	Sturdy               	Weak Armor          	Sand Force        	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	0.9m       	525     	Ore Pokemon               	105              	105               	70           	50               	40               	20              	390             	Rock         	             	102 kg       
Bonsly                        	Sturdy               	Rock Head           	Rattled           	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	4       	0.5m       	438     	Bonsai Pokemon            	80               	95                	50           	10               	45               	10              	290             	Rock         	             	15 kg        
Bouffalant                    	Reckless             	Sap Sipper          	Soundproof        	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	1.6m       	626     	Bash Buffalo Pokemon      	110              	95                	95           	40               	95               	55              	490             	Normal       	             	94.6 kg      
Bounsweet                     	Leaf Guard           	Oblivious           	Sweet Veil        	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	7       	0.3m       	761     	Fruit Pokemon             	30               	38                	42           	30               	38               	32              	210             	Grass        	             	3.2 kg       
Braixen                       	Blaze                	Magician            	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	6       	1m         	654     	Fox Pokemon               	59               	58                	59           	90               	70               	73              	409             	Fire         	             	14.5 kg      
Braviary                      	Keen Eye             	Sheer Force         	Defiant           	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	1.5m       	628     	Valiant Pokemon           	123              	75                	100          	57               	75               	80              	510             	Normal       	Flying       	41 kg        
Breloom                       	Effect Spore         	Poison Heal         	Technician        	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	1.2m       	286     	Mushroom Pokemon          	130              	80                	60           	60               	60               	70              	460             	Grass        	Fighting     	39.2 kg      
Brionne                       	Torrent              	Liquid Voice        	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	7       	0.6m       	729     	Pop Star Pokemon          	69               	69                	60           	91               	81               	50              	420             	Water        	             	17.5 kg      
Bronzong                      	Levitate             	Heatproof           	Heavy Metal       	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	4       	1.3m       	437     	Bronze Bell Pokemon       	89               	116               	67           	79               	116              	33              	500             	Steel        	Psychic      	187 kg       
Bronzor                       	Levitate             	Heatproof           	Heavy Metal       	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	4       	0.5m       	436     	Bronze Pokemon            	24               	86                	57           	24               	86               	23              	300             	Steel        	Psychic      	60.5 kg      
Bruxish                       	Dazzling             	Strong Jaw          	Wonder Skin       	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	7       	0.9m       	779     	Gnash Teeth Pokemon       	105              	70                	68           	70               	70               	92              	475             	Water        	Psychic      	19 kg        
Budew                         	Natural Cure         	Poison Point        	Leaf Guard        	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	4       	0.2m       	406     	Bud Pokemon               	30               	35                	40           	50               	70               	55              	280             	Grass        	Poison       	1.2 kg       
